class,ra,dec,u,g,r,i,z,nuv_mag,u-g,u-r,u-i,u-z,u-nuv_mag,g-r,g-i,g-z,g-nuv_mag,r-i,r-z,r-nuv_mag,i-z,i-nuv_mag,class
1,200.7945114,21.82278364,22.84096909,21.54765511,20.47359848,19.75675583,19.37406349,23.1094265,1.29331398,2.36737061,3.08421326,3.4669056,-0.26845741,1.07405663,1.79089928,2.17359162,-1.56177139,0.71684265,1.09953499,-2.63582802,0.38269234,-3.35267067,-3.73536301
1,202.1483812,27.43081705,23.12229156,22.40217018,20.55569458,19.35350418,18.80119133,22.52021027,0.72012138,2.56659698,3.76878738,4.32110023,0.60208129,1.8464756,3.048666,3.60097885,-0.11804009,1.2021904,1.75450325,-1.96451569,0.55231285,-3.16670609,-3.71901894
0,191.1247667,21.21087353,20.63611221,19.77760315,19.63049507,19.5509491,19.51989746,22.49888611,0.85850906,1.00561714,1.08516311,1.11621475,-1.8627739,0.14710808,0.22665405,0.25770569,-2.72128296,0.07954597,0.11059761,-2.86839104,0.03105164,-2.94793701,-2.97898865
1,208.0261935,23.1320609,24.7345562,22.75479698,21.18432808,19.98097038,19.479496,22.77587318,1.97975922,3.55022812,4.75358582,5.2550602,1.95868302,1.5704689,2.7738266,3.27530098,-0.0210762,1.2033577,1.70483208,-1.5915451,0.50147438,-2.7949028,-3.29637718
1,189.6718366,21.08929858,23.55382729,22.33231544,20.72655869,19.76708031,19.29087257,23.67369652,1.22151185,2.8272686,3.78674698,4.26295472,-0.11986923,1.60575675,2.56523513,3.04144287,-1.34138108,0.95947838,1.43568612,-2.94713783,0.47620774,-3.90661621,-4.38282395
1,207.5969328,23.35062927,22.9310894,21.33610153,19.96985435,19.22854424,18.72076416,23.10780716,1.59498787,2.96123505,3.70254516,4.21032524,-0.17671776,1.36624718,2.10755729,2.61533737,-1.77170563,0.74131011,1.24909019,-3.13795281,0.50778008,-3.87926292,-4.387043
1,202.65642,18.84103763,22.38741493,21.85463142,20.76219177,19.8614502,19.19240379,23.16188622,0.53278351,1.62522316,2.52596473,3.19501114,-0.77447129,1.09243965,1.99318122,2.66222763,-1.3072548,0.90074157,1.56978798,-2.39969445,0.66904641,-3.30043602,-3.96948243
1,184.6152906,22.78539982,25.89673805,22.18685913,20.49575233,19.62686157,19.0976429,24.44360924,3.70987892,5.40098572,6.26987648,6.79909515,1.45312881,1.6911068,2.55999756,3.08921623,-2.25675011,0.86889076,1.39810943,-3.94785691,0.52921867,-4.81674767,-5.34596634
1,184.5110286,22.79297318,24.90128517,21.97626495,20.89456558,20.12470436,19.64421844,23.77874756,2.92502022,4.00671959,4.77658081,5.25706673,1.12253761,1.08169937,1.85156059,2.33204651,-1.80248261,0.76986122,1.25034714,-2.88418198,0.48048592,-3.6540432,-4.13452912
0,184.1395917,22.12184913,21.8639698,20.84313202,20.69554329,20.60324287,20.29343987,24.10855293,1.02083778,1.16842651,1.26072693,1.57052993,-2.24458313,0.14758873,0.23988915,0.54969215,-3.26542091,0.09230042,0.40210342,-3.41300964,0.309803,-3.50531006,-3.81511306
1,183.7236658,22.76664597,23.29585075,22.09725952,20.92771721,19.93008232,19.61818886,23.2968483,1.19859123,2.36813354,3.36576843,3.67766189,-0.00099755,1.16954231,2.1671772,2.47907066,-1.19958878,0.99763489,1.30952835,-2.36913109,0.31189346,-3.36676598,-3.67865944
2,183.0283382,22.36853498,22.46758461,20.77837944,19.88159943,19.19176483,18.68915749,22.4486618,1.68920517,2.58598518,3.27581978,3.77842712,0.01892281,0.89678001,1.58661461,2.08922195,-1.67028236,0.6898346,1.19244194,-2.56706237,0.50260734,-3.25689697,-3.75950431
1,182.7614677,21.70687433,22.21959686,22.22949791,20.42122078,19.55589676,19.05890083,22.14050674,-0.00990105,1.79837608,2.6637001,3.16069603,0.07909012,1.80827713,2.67360115,3.17059708,0.08899117,0.86532402,1.36231995,-1.71928596,0.49699593,-2.58460998,-3.08160591
